smiles,bbbp,mutagenicity,hia
Cc1cc(C2(c3cc(C)c(OC4CCN(C)CC4)cc3C(C)C)OC(=O)c3ccccc32)c(C(C)C)cc1OC(=O)[C@H]1[C@@H]2CCCC[C@@H]21,0.44,0.1,0.99
CCCN(CCC)C(=O)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)n1c(=O)[nH]c2ccccc2c1=O,0.67,0.09,0.97
C=CCOc1ccc([C@@H]2C(=C(O)c3ccc4c(c3)OCCO4)C(=O)C(=O)N2Cc2ccc(Cl)cc2)cc1,0.21,0.03,1.0
COc1cc(OC)c(OC)cc1/C=C/c1nc2ccc(C3CCNCC3)cc2c(=O)n1-c1cc(C)cc(C)c1,0.32,0.22,0.99
CC[C@H](C(=O)NC(C)(C)C)N(Cc1ccccc1C)C(=O)CN(Cc1ccc(Cl)c(Cl)c1)c1cc(OC)ccc1OC,0.32,0.05,1.0
COc1cccc(-n2c(=S)sc3c(=O)n(C)c(SCC(=O)NC4CCCN(C)C4)nc32)c1,0.71,0.22,1.0
Oc1c(Cl)cc(Cl)cc1[C@@H]1Oc2c(Cl)cc(Cl)cc2[C@H]2CC(c3ccc(F)cc3)N=NN21,0.37,0.37,1.0
CN1CCN(NC(=O)NC(=S)Nc2cc([N+](=O)[O-])ccc2Cl)CC1,0.8,0.89,0.98
O=C(CN1C(=O)S/C(=C/c2ccc(-c3ccc(Cl)c([N+](=O)[O-])c3)o2)C1=O)Nc1ccccc1F,0.64,0.5,1.0
CCOc1ccc(-n2c(SCC(=O)N3CCN(C4CC4)CC3)nnc2-c2ccco2)cc1,0.8,0.13,0.99
Cc1ccc(S(=O)(=O)N(CC(=O)N(C)c2cc(Cl)ccc2Cl)c2cc(Cl)ccc2Cl)cc1,0.75,0.03,1.0
CCOc1cc(C2C3=C(CCCC3=O)N(Cc3ccccc3)C3=C2C(=O)CCC3)ccc1F,0.89,0.06,1.0
CN(Cc1ccccc1)C(=O)CCN(c1ccc(F)cc1)S(=O)(=O)c1ccccc1,0.88,0.09,1.0
COC(=O)C1=C(C)N=c2sc(=Cc3cccc(OC)c3)c(=O)n2[C@H]1c1ccc(Cl)cc1,0.57,0.03,1.0
COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)CN(C(=O)CNc3ccc(Br)cc3)C[C@H](C(C)C)NC(=O)[C@@H](C)NC2=O)cc1,0.14,0.28,0.87
CCCCOc1ccc(C2=N/C(=C/c3cccc(OC(=O)c4ccc(Br)cc4)c3)C(=O)O2)cc1,0.15,0.09,0.98
CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(Br)o3)c(=O)n2[C@@H]1c1ccc(Cl)cc1,0.63,0.03,1.0
CN1CCN(C(=O)COC(=O)c2ccc(-c3ccccc3)cc2)CC1,0.97,0.42,0.98
COc1cccc(CN(C(=O)CN(C)C2CC2)S(=O)(=O)c2ccccc2)c1,0.93,0.15,1.0
Cc1ccc(-c2ccc(C=CC(=O)N3CCNCC3)o2)cc1Cl,0.92,0.27,1.0
CC[C@H](C)NC(=O)[C@@H](Cc1ccccc1)N(Cc1ccc(F)cc1)C(=O)CN(C)c1ccc(F)cc1,0.72,0.13,1.0
CCOc1ccc(N2C(=O)C3[C@H](ON(c4cccc([N+](=O)[O-])c4)[C@@H]3C3=CCc4ccccc4C3)C2=O)cc1,0.67,0.88,1.0
Cc1cccc(C(C)C)c1NC(=O)C(=O)[C@@H](C(=O)C=Cc1ccc(F)cc1)C1OC(=O)c2ccccc21,0.52,0.14,1.0
S=C1N[C@H](c2ccccn2)[C@@H](C2CC2)N1c1ccc(OC2CCCC2)cc1,0.76,0.2,1.0
C[C@@H](C(=O)NC1CCCCC1)N(Cc1ccccc1Cl)C(=O)COc1ccc(C(C)(C)C)cc1,0.63,0.15,1.0
CCCN(CCc1ccccc1)C(=O)c1ccc(COc2ccc(C(C)(C)C)cc2)cc1,0.39,0.14,1.0
CN1CCN(CC=Cc2cc(Br)cc([N+](=O)[O-])c2OCc2cccc(C(=O)O)c2)CC1,0.73,0.78,0.87
CCOC(=O)c1ccc(N2C(=O)[C@H]3N[C@@]4(c5ccccc5-n5c4nc4ccccc4c5=O)[C@H]3C2=O)cc1,0.56,0.21,0.99
COc1ccc(C(=O)NCc2nnc(SCC(=O)Nc3ccc(Cl)cc3Cl)n2C)cc1,0.53,0.22,1.0
O=C(CSc1ccc([C@@H]2N[C@@H](C(=O)O)CS2)cc1[N+](=O)[O-])Nc1cccc(C(F)(F)F)c1,0.58,0.54,0.95
CCc1ccc2nc(N3C(=O)C(=O)C(=C(O)c4ccc(Cl)cc4)[C@@H]3c3ccc([N+](=O)[O-])cc3)sc2c1,0.14,0.18,1.0
O=C(CSc1ccc(Cl)c(SCCC(F)(F)F)c1)c1ccc([N+](=O)[O-])cc1,0.83,0.32,1.0
CN1CCN(CCCOc2ccc(-n3c(Cc4ccccc4)nnc3SCCOc3ccccc3)cc2)CC1,0.66,0.1,0.96
CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(Br)o3)c(=O)n2[C@H]1c1ccc(OC)c(Br)c1,0.6,0.09,1.0
CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2ccc(Cl)cc2)cc1C(C)C,0.39,0.08,1.0
CN(C)Cc1nnc(-c2nc(-c3ccccc3)oc2Sc2ccc(Cl)cc2)s1,0.83,0.08,1.0
CCOc1ccc(-c2nn(-c3ccccc3)cc2/C=c2\sc3n(c2=O)[C@H](c2ccccc2Cl)C(C(=O)OCC(C)C)=C(C)N=3)cc1,0.14,0.05,1.0
Cc1ccc(C(=O)N(CC(=O)Nc2nc(-c3ccc(F)cc3)cn2-c2ccc(F)cc2F)Cc2ccccc2)cc1,0.55,0.34,1.0
CCCc1nc2ccc(Br)cc2c(=O)n1/N=C/c1ccc(N(C)C)cc1OC1CCN(C)C1,0.86,0.68,1.0
C#CCOc1ccc(/C=c2\sc3n(c2=O)[C@H](c2ccc(F)c(F)c2)C(C(=O)OCC)=C(C)N=3)cc1Br,0.75,0.2,1.0
CCOc1cc(C=C2SC(=Nc3ccc(CC)cc3)NC2=O)cc(I)c1OC1CCN(C)CC1,0.8,0.17,0.99
CCc1ccc2nc(N3C(=O)C(=O)C(=C(O)c4ccc(F)cc4)[C@@H]3c3ccc(F)cc3)sc2c1,0.33,0.09,1.0
CN(C)CCCNc1nc(Nc2ccccc2)nc(N2CCCCC2)n1,0.99,0.16,1.0
C=CCc1cc(C=NNc2ccc(C(F)(F)F)cn2)cc(OC)c1OCc1ccc(Cl)cc1,0.55,0.22,1.0
Cc1cc(Cl)c2oc(=O)cc(CSc3nnc(N)n3C)c2c1,0.97,0.23,1.0
CCOC(=O)C1=C(N)N(c2ccc(F)cc2F)C2=C(C(=O)[C@@H](C(=O)OCC)[C@H](c3cccs3)C2)[C@@H]1c1ccc(F)cc1,0.77,0.15,1.0
CCOC(=O)c1c(N2CCN(C)CC2)sc(N[C@@H](NC(=O)c2ccco2)C(=O)c2ccc(Cl)cc2)c1C,0.67,0.11,0.99
CCOc1cc(Br)c(I)cc1/C=C1\SC(=Nc2ccc(CC)cc2)NC1=O,0.79,0.2,1.0
CN1CCN(c2ccc3cc(S(=O)(=O)O)c(/N=N/c4ccc(N=N)c(S(=O)(=O)O)c4)c(O)c3c2)CC1,0.22,0.35,0.62
Cc1cccc(C(C)C)c1NC(=O)C(=O)[C@@H](C(=O)/C=C/c1ccccc1)N1CCN(C)CC1,0.89,0.13,0.99
CCOc1ccc(-n2c(N)nnc2-c2ccco2)cc1,0.78,0.36,1.0
COc1cccc(-n2c(=S)sc3c(=O)n(C)c(SCCN(C)C)nc32)c1,0.9,0.45,1.0
COc1cc2c(c(OC)c1OC)-c1ccc(N[C@@H](C)C(=O)NCc3ccc(Br)cc3)c(=O)cc1[C@H](NC(C)=O)CC2,0.59,0.56,0.99
COc1ccc(C(=O)c2ccc(N3CCNCC3)cc2)cc1,0.86,0.36,0.99
COc1cc(C(c2c(-c3ccc(C)cc3)n[nH]c2O)c2c(-c3ccc(F)cc3)n[nH]c2O)cc(I)c1O,0.04,0.08,0.99
CCN(CC)CCCOc1ccc(-c2ccc(C=Nn3c(-c4cc5cc(Cl)ccc5o4)nc4ccccc4c3=O)o2)cc1,0.46,0.4,0.99
CC[C@H](C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)c(OCCCN2CCOCC2)c(Cl)c1,0.74,0.39,1.0
CCCCOc1cccc(-c2nn(-c3ccccc3)cc2C=C2CCN(CC)CC2)c1,0.92,0.16,1.0
CCn1c(CC(=O)Nc2ccc(C)cc2)nnc1SCC(=O)Nc1nc2ccc(CN(C)C)cc2s1,0.55,0.17,0.9
CN1CCN(CC(=O)CN(Cc2ccc(Cl)cc2Cl)S(=O)(=O)c2ccccc2)CC1,0.94,0.08,1.0
CCCCNC(=O)[C@H](C)N(CCc1ccccc1)C(=O)CN(c1cccc(Cl)c1Cl)S(C)(=O)=O,0.72,0.1,1.0
CN1CCC(Sc2ccc(C(=O)Nc3cc(Cl)ccc3Oc3ccccc3)cc2)CC1,0.91,0.18,1.0
CCN1CCC(N(Cc2ccccc2)S(=O)(=O)c2ccc(OC)cc2)CC1,0.9,0.11,1.0
CCCc1nc2ccc(Br)cc2c(=O)n1/N=C/c1ccc(N(C)C)cc1OCc1ccc(Cl)c(Cl)c1,0.47,0.31,1.0
CN(C)CCCN(Cc1ccc(Cl)cc1)C(=O)CN(c1ccc(F)c(Cl)c1)S(=O)(=O)c1ccccc1,0.87,0.07,1.0
Cc1cccc(C)c1NCCNC(=O)[C@@H](NC(=O)Cn1ncc2ccccc21)[C@@H](C)O,0.39,0.18,0.95
COc1cc([C@H](C[N+](=O)[O-])Sc2nnc(C)n2-c2ccccc2)ccc1OCCCN1CCN(C)CC1,0.74,0.24,0.97
CC[C@H](C)OC(=O)C1=C(C)NC2=C(C(=O)C[C@H](c3ccc(F)c(F)c3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1,0.44,0.17,1.0
CCOc1ccc(N(CC(=O)N(CCN(CC)CC)Cc2ccc(Cl)c(Cl)c2)S(=O)(=O)c2ccc(Br)cc2)cc1,0.77,0.17,1.0
CC(C)c1nc(Cc2ccc(NC(=O)COc3ccc4c(c3)CCC4)cc2)no1,0.9,0.47,1.0
Cc1ccc(C(=O)N/C(=C\c2ccc(-c3ccc(F)cc3)o2)C(=O)N[C@@H]2CCCS2(=O)=O)cc1,0.46,0.49,0.99
CC[C@H](C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(I)c(OCCN(CC)CC)c(I)c1,0.84,0.59,0.99
CCOc1ccc(C=C2C(=O)NC(=O)N(c3ccc(OC)cc3)C2=O)cc1OC(C)C,0.81,0.17,1.0
COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2ccccc2Cl)cc1C(C)C,0.48,0.17,1.0
COC(=O)c1c(NC(=O)CCCOc2ccc(Cl)cc2Cl)sc(C(=O)Nc2ccc(C(F)(F)F)cc2)c1C,0.44,0.2,1.0
COc1cc(C=C2C(=O)NC(=S)N(c3ccc(F)cc3)C2=O)cc(Br)c1OCc1ccc([N+](=O)[O-])cc1,0.46,0.57,0.99
COc1ccc(-c2cn(-c3ccccc3)c(NC(=O)CN(C)Cc3ccccc3)n2)cc1,0.73,0.51,1.0
COC(=O)c1c(C)oc2ccc(N(C(=O)C=Cc3ccc(Br)cc3)S(=O)(=O)c3cccc([N+](=O)[O-])c3)cc12,0.59,0.1,1.0
C=CCOc1cccc([C@H]2C(=C(Br)c3ccc4c(c3)C[C@H](C)O4)C(=O)C(=O)N2Cc2ccco2)c1,0.49,0.14,1.0
CCCCNC(=O)[C@@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)COc1ccc(Cl)cc1,0.46,0.14,1.0
CCCc1c(NC(=O)[C@@H]2CCOC2)c2cc(N[C@@H](C)CCn3cccn3)cnc2n1CCCc1ccccc1,0.57,0.47,1.0
COC(=O)c1c(C)oc2ccc(N(C(=O)/C=C/c3ccccc3)S(=O)(=O)C=Cc3ccccc3)cc12,0.52,0.05,1.0
CCn1c(CNC(=O)COc2cc(C)ccc2C(C)C)nnc1SCC(=O)NC1CCN(C)CC1,0.4,0.08,0.94
CN1CCC(c2nnc(SCC(=O)Nc3cc([N+](=O)[O-])ccc3Cl)n2C)CC1,0.9,0.58,0.99
CCCc1nn2c(=O)c(C(c3ccc(F)cc3)c3c(O)nc4sc(CCC)nn4c3=O)c(O)nc2s1,0.22,0.09,0.96
O=C(C1=C(O)C(=O)N(CCc2c[nH]c3ccccc23)[C@H]1CNc1ccc(Br)cc1)c1ccc(Br)cc1,0.68,0.03,1.0
Cc1cc([C@@H]2[C@H](c3ccccn3)NC(=S)N2CCCN2CCN(C)CC2)c(C)n1-c1ccc(O)cc1,0.37,0.12,0.92
CN(C(=O)[O-])C(=O)CN(c1ccc(Oc2ccccc2)cc1)S(=O)(=O)c1ccccc1,0.68,0.03,0.99
COc1cccc(CN(C(=O)CNc2ccc(F)cc2)S(=O)(=O)c2ccc(OC)c(OC)c2)c1,0.61,0.04,1.0
Cc1ccc(S(=O)(=O)n2nc(NCCN3CCNCC3)nc2NCc2cccc(Br)c2)cc1,0.55,0.16,0.99
CN(C)c1ccc([Si](c2cccc(C(F)(F)F)c2)(c2cccc(C(F)(F)F)c2)c2cccc(C(F)(F)F)c2)cc1,0.66,0.01,1.0
COc1cc(C=N)cc(I)c1OS(=O)(=O)c1ccc(C)cc1,0.38,0.16,1.0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3cccc(Oc4ccc(Cl)cc4)c3)c(=O)n2[C@H]1c1ccc2c(c1)OCO2,0.39,0.04,1.0
CC[C@H](C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(I)c(Oc2ccccc2)c(I)c1,0.56,0.17,1.0
COc1ccc(NC(=O)CSc2nc3ccc(N4CCOCC4)cc3c(=O)n2CCC(C)C)cc1,0.5,0.2,1.0
CN(C)CCN(C)C(=O)Cc1c[nH]c2ccccc12,0.98,0.2,0.99
Cc1ccc(-c2cc(-c3ccccc3)c(C#N)c(S[C@@H](C)C(N)=O)n2)cc1,0.72,0.33,1.0
CCN1CCN(c2nn(-c3ccccc3)cc2/C=C2\SC(=S)N(Cc3ccccc3Cl)C2=O)CC1,0.93,0.38,1.0
COc1ccc(C(=O)Nc2nnc(CC3CCN(C)CC3)s2)cc1,0.94,0.19,0.99
CC(C)NC(=O)[C@H](Cc1ccccc1)N(Cc1ccc(Cl)cc1Cl)C(=O)CN1CCN(C)CC1,0.81,0.16,1.0
CCCN(CCC)C(=O)c1nnc([C@H](CC(C)C)NC(=O)c2ccc(Cl)cc2Cl)n1C,0.72,0.19,1.0
O=C(O[C@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(N2CCN(CCO)CC2)cc1)c1cc(O)c(O)c(O)c1,0.17,0.25,0.83
CCOC(=O)C1=C(c2ccccc2)N=c2sc(=Cc3cccc(OC)c3OC)c(=O)n2[C@@H]1c1ccc(Cl)cc1,0.41,0.03,1.0
CC[C@H](C(=O)NCC(C)C)N(Cc1ccccc1Cl)C(=O)CN(Cc1ccc(F)c(F)c1)c1cc(OC)ccc1OC,0.5,0.06,1.0
CC(C)Oc1ccc(C2=C([CH]C(C(=O)C(=O)[O-])N3C(=O)C(=O)c4ccccc43)C=C2)cc1,0.34,0.37,0.99
CCn1c(CC(=O)Nc2ccc(C)cc2)nnc1SCC(=O)Nc1nc2c(C)cccc2s1,0.64,0.12,0.99
CCN(CC)c1ccc(C=C2SC(=S)N(C)C2=O)c(OCC(=O)Nc2cccc(C(F)(F)F)c2)c1,0.83,0.49,1.0
CNc1ccccc1C(=O)Nc1ccc(Cl)c(S(=O)(=O)Nc2ccc(F)c(F)c2)c1,0.68,0.04,1.0
CCCC1=C(C(=O)OCC)[C@H](c2ccc3c(c2)OCO3)n2c(sc(=Cc3ccc(Cl)cc3)c2=O)=N1,0.58,0.04,1.0
CCCc1nc2ccc(NCC3CCN(C)CC3)cc2c(=O)n1Cc1ccc(-c2cccc(Cl)c2)cc1,0.91,0.3,1.0
CCOc1cc(C2C3=C(CN(C)C3)N(Cc3ccccc3)C3=C2C(=O)CCC3)cc(Br)c1OCc1ccccc1Br,0.69,0.05,1.0
COc1cccc(NC(=O)CSc2nc3c(oc4ccccc43)c(=O)n2C2CCN(CC(F)(F)F)CC2)c1,0.92,0.33,1.0
CN[C]1NC(=O)/C(=C/c2c(OCc3ccc(Cl)cc3)ccc3ccccc23)S1,0.55,0.59,1.0
COc1cccc(NC(=O)CSc2nc3c(oc4ccccc43)c(=O)n2C2CCN(CC3CC3)CC2)c1,0.96,0.32,1.0
Nc1ncnc2c1N=C(NCCCNc1nccs1)[CH]N2[C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O,0.23,0.23,0.77
CN1C2CCC1CC(NC(=O)C(=O)N(Cc1ccccc1Cl)[C@@H](Cc1ccccc1)C(=O)NC1CCCCC1)C2,0.81,0.23,0.99
O=c1c(-c2ccc(Cl)cc2)[n+]([O-])c2ccccc2n1OCc1ccccc1,0.56,0.11,1.0
CCOc1ccc(N(CC(=O)N(CCCN(CC)CC)C(=O)[O-])S(=O)(=O)c2ccc(Br)cc2)cc1,0.83,0.17,0.87
O=C(Nc1cc(C(F)(F)F)ccc1Cl)C(=O)[C@@H]1C(=O)N(c2ccc(F)cc2Cl)N=C1c1ccccc1,0.69,0.06,1.0
COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(Cl)cn4)cc3n2)cn1,0.8,0.22,1.0
Cc1ccc(NC(=O)CSc2nnc([C@H](CC(C)C)NC(=O)c3ccc(Cl)cc3Cl)n2C)cc1,0.57,0.16,1.0
Cc1ccc(-n2c(SCc3nc(C4CC4)no3)nnc2-c2cccc(C)c2)cc1,0.9,0.1,1.0
COc1ccc(-c2nn(-c3ccccc3)cc2/C=C/C(=O)OC2CCCN2)cc1OC,0.7,0.26,1.0
CC[C@H](C(=O)NC(C)(C)C)N(Cc1ccccc1C)C(=O)CN(Cc1ccc(Cl)cc1)c1cc(OC)ccc1OC,0.32,0.04,1.0
COc1ccccc1C(=Cc1ccccc1)NC(=O)c1ccc(NC(=O)c2ccccc2)cc1,0.34,0.3,0.98
CN1CCN(c2ccc(/N=N/c3c(S(=O)(=O)O)cc4ccc(/N=N\c5ccc(N)cc5N)cc4c3O)c(S(=O)(=O)O)c2)CC1,0.19,0.51,0.7
Cc1cc(N)c(N=Nc2ccc(-c3ccc(-c4ccc(N5CCN(C)CC5)cc4)cc3)cc2)cc1N,0.19,0.54,0.88
CCc1ccccc1NC(=O)CN1C(=O)NC(=Cc2ccc(Br)cc2)C1=O,0.96,0.23,1.0
CCCc1nc2cc(Br)ccc2c(=O)n1/N=C/c1ccc(N(C)C)cc1OC,0.84,0.61,1.0
CN1CCN(COc2ccc(/C=C3\S/C(=N\c4ccccc4)N(Cc4ccco4)C3=O)cc2)CC1,0.89,0.22,0.99
CCOC(=O)C1=C(c2ccccc2)N=c2sc(=C(C)c3ccccc3)c(=O)n2[C@@H]1c1cccs1,0.48,0.07,1.0
CCNC(=O)C(=O)[C@@H](C(=O)/C=C/c1ccccc1)[C@H]1OC(=O)c2ccccc21,0.51,0.42,0.99
CN(C)C1CCN(CC(=O)Nc2ccc3oc(-c4ccc(Cl)cc4)nc3c2)CC1,0.99,0.31,1.0
CCOc1ccc(N(CC(=O)N(Cc2ccccc2Cl)[C@@H](Cc2ccccc2)C(=O)Nc2ccc(CN(C)C)cc2)S(=O)(=O)c2ccc(Cl)cc2)cc1,0.27,0.09,0.99
CN1CCN(N(C(=O)Oc2ccccc2)c2ccc(N(C(=O)Oc3ccccc3)S(=O)(=O)c3ccc(Cl)cc3)c3ccccc23)CC1,0.52,0.08,1.0
CCCC[Sn](CCCC)(CCCC)c1ccnc(OCC)n1,0.57,0.04,1.0
CN(C)C1CCN(C(=O)Nc2ccc3oc(-c4cccc5c(Br)cccc45)nc3c2)CC1,0.95,0.18,1.0
COc1cc([N+](=O)[O-])ccc1-c1ccc(/C=N\c2sc3c(c2C(=O)NCc2ccco2)CCN(C2CCN(C)CC2)C3)o1,0.7,0.68,0.99
CCOc1ccc(N2C(=O)N=C(O)/C(=C\c3ccc(-c4cccc(Br)c4)o3)C2=O)cc1,0.57,0.05,1.0
CCOC(=O)C1=C(c2ccccc2)N=c2sc(=Cc3cc(Br)cc(I)c3OCc3ccc(Cl)cc3)c(=O)n2[C@@H]1c1cccc(F)c1,0.46,0.04,1.0
CCOc1cc(C=Nn2c(C#N)nc3ccc(Br)cc3c2=O)c(Br)c(Br)c1OCc1ccc([N+](=O)[O-])cc1,0.44,0.6,1.0
CCn1c(CNC(=O)COc2cc(C)ccc2C(C)C)nnc1SCC(C)N,0.56,0.26,1.0
CC[C@H](C)NC(=O)[C@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)CN(CCN(C)C)c1ccccc1OC,0.6,0.13,0.98
CN1CCN(CC2CC2)c2cc(-n3c(SCc4ccc(Cl)c(Cl)c4)nc4c([nH]c5ccccc54)c3=O)ccc2C1,0.94,0.38,1.0
CC(=O)N1CCN(c2ccc(CSc3nnc(-c4ccccc4)n3-c3ccccc3)cc2)CC1,0.83,0.05,1.0
COc1ccc(NCc2nnc(SCC(=O)N3CCN(C4CC4)CC3)n2-c2ccc(OC)cc2)cc1,0.64,0.17,0.98
COc1ccc(-c2noc(CSc3nnc(-c4ccccc4)n3C)n2)c(OC)c1,0.63,0.13,1.0
CCCCc1nc2ccc(Br)cc2c(=O)n1/N=C/c1cccc([N+](=O)[O-])c1OCCCN1CCN(C)CC1,0.92,0.8,1.0
Cc1c(N2CCN(C)CC2)cc(-c2cccs2)nc1SCC(=O)Nc1sc2c(c1C#N)CCC2,0.84,0.37,1.0
CCCCCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2[C@@H]1[C@H](O)CNc1c(C)cccc1C,0.98,0.69,1.0
O=C(CSc1cn[nH]n1)Nc1ccc(N2CCN(C3CC3)CC2)cc1,0.8,0.14,0.99
CCNC(=O)[C@@H](Cc1ccccc1)N(Cc1cccc(C)c1)C(=O)CN(c1ccccc1)c1ccccc1,0.63,0.06,1.0
CCNC(=O)[C@@H](C)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1,0.64,0.04,1.0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(-c4cccc(Cl)c4)o3)c(=O)n2[C@H]1c1ccc(N(C)C)cc1,0.6,0.06,1.0
CCCN(CCc1ccccc1)C(=O)CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(OC)c(OC)c1,0.68,0.04,1.0
CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(Cl)c(OCCCN3CCOCC3)c(OCC)c2)cc1C(C)C,0.41,0.17,1.0
CN(C)CCN(C)C1OCCN(N(CC(=O)c2ccc(OC(=O)c3ccc(Cl)cc3Cl)cc2)C(=O)c2ccccc2Cl)C1=O,0.3,0.33,0.95
COc1ccc(C2[CH]C(C(=O)c3ccc(Cl)cc3Cl)=C(O)C(=O)N2c2nnc(SCc3ccccc3Cl)s2)cc1,0.11,0.04,1.0
C[NH2+]C(C)C(=O)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(c1cccc(Cl)c1Cl)S(=O)(=O)c1ccccc1,0.61,0.02,1.0
CN(C)C(=O)COC[C@H]1O[C@H](O)[C@@H](OC(=O)c2ccccc2)[C@@H](OC(=O)c2ccccc2)[C@@H]1OC(=O)c1ccccc1,0.23,0.08,0.77
O=[N+]([O-])c1cccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc(CN3CCN(Cc4ccccc4)CC3)cc2)c1,0.82,0.19,1.0
CC(C)(C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cccc(OCCN(CCCl)CCCl)c1,0.8,0.82,1.0
CCN(CC)C1CC(=O)N(N(CC(=O)c2ccc(OC(=O)c3ccc(Cl)cc3Cl)cc2)C(=O)c2ccccc2Cl)C1=O,0.39,0.2,0.99
CCCCNC(=O)[C@@H](CC)N(Cc1cccc(C)c1)C(=O)CN(Cc1ccc(Cl)cc1)c1ccc(C)cc1,0.64,0.09,1.0
CN1CCN(C(=O)c2ccc3c(Cl)c(C(=O)Oc4ccc(Br)cc4Cl)sc3c2)CC1,0.91,0.38,0.99
COc1ccc(C(=O)Nc2nnc(CCOCC3CCN(C4CC4)CC3)s2)cc1,0.95,0.36,0.99
CC[C@H](C)NC(=O)[C@H](Cc1ccccc1)N(Cc1ccc(C)cc1)C(=O)CCCN1CCN(C(=O)c2ccc(F)cc2)CC1,0.56,0.21,0.99
Cc1ccc([C@@H]2[C@H](c3ccccn3)NC(=S)N2c2ccc(Cl)c(Cl)c2)n1-c1cccnc1,0.55,0.13,1.0
COc1ccc(Cl)cc1C1=N/C(=C\c2ccc(Br)cc2)C(=O)O1,0.68,0.14,1.0
CCOC(=O)C1=C(c2ccccc2)N=c2s/c(=C\c3ccccc3OC(C)C)c(=O)n2[C@@H]1c1cccs1,0.42,0.1,1.0
C=CC(=O)Oc1ccc(/N=N/c2ccc(F)cc2)cc1C,0.67,0.66,1.0
CCCCNC(=O)[C@@H](CC)N(Cc1cccc(OC)c1)C(=O)CN(c1cc(OC)ccc1OC)C1CCN(C)CC1,0.73,0.11,0.99
CCCCOc1ccc(/C(O)=C2\C(=O)C(=O)N(Cc3cccnc3)[C@@H]2C)c(C)c1,0.32,0.1,1.0
CCCCON/C(=N\S(=O)(=O)c1nnc[nH]1)Nc1cccc(C)c1,0.46,0.76,1.0
CC(C)c1ccc2oc(-c3cccc(NC(=S)NC(=O)c4ccc(N5CCN(C)CC5)cc4)c3)nc2c1,0.54,0.21,0.97
CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cn(C)c3ccccc23)cc1C(C)C,0.54,0.27,1.0
Cc1cc(N2CCN(C)CC2)ccc1-c1nn(-c2ccccc2)cc1/C=C1\SC(=S)N(CCc2ccccc2)C1=O,0.81,0.33,1.0
Cc1oc(-c2cccc(Cl)c2)nc1COc1ccccc1N1CCN(C)CC1,0.97,0.13,1.0
CCc1ccc(N2C(=O)c3cc(Br)ccc3C2=Nc2ccccc2)cc1,0.96,0.26,1.0
C=CCn1c(COc2ccc(CC)cc2)nnc1S[C@@H](C(=O)Nc1cc(C(F)(F)F)ccc1Cl)C1CCCN1,0.59,0.3,1.0
COc1cc([C@H]2C(=C(CN)c3ccccc3)C(=O)C(=O)N2c2nc3ccc(C)cc3s2)cc(OC)c1OC,0.45,0.14,1.0
CCCCc1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)c(OCCN2CCNCC2)c(OCC)c1,0.66,0.33,1.0
CCCN1CCN(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](Cc2ccccc2)C(=O)Nc2c(C)cccc2C)CC1,0.54,0.16,0.99
CCOc1cc(Br)c(C=Nn2c(-c3cc4cc(Cl)ccc4o3)nc3ccccc3c2=O)cc1OCCN1CCN(C)CC1,0.72,0.23,1.0
CN1CCN(Cc2ccccc2)CC1c1cc(Cl)nc(SCc2ccc(C(=O)NC(c3ccccc3)c3ccccc3)cc2)n1,0.53,0.12,1.0
CN1CCC(Nc2nc(NN=Cc3ccccc3I)nc(N3CCOCC3)n2)CC1,0.89,0.19,0.99
C=c1oc(=Cc2cc(Br)ccc2OC(=O)c2sc3cc([N+](=O)[O-])ccc3c2Cl)nc1-c1cc(Cl)ccc1OC(=O)c1cc(Br)ccc1OCCCN(C)C,0.41,0.44,0.99
