smiles,bbbp,mutagenicity,hia,plogp,qed,drd2,sas
CN1CCN(CCOc2c(Br)cc(Br)c(O)c2C=Nc2ccc3oc(-c4ccc(F)cc4Cl)nc3c2)CC1,0.8,0.34,1.0,3.27,0.22,0.38,3.05
O=C(OCc1ccc(F)cc1)c1cc(S(=O)(=O)N2CCN(c3ccccc3)CC2)ccc1Cl,0.59,0.01,1.0,2.7,0.48,0.0,2.04
CCOc1ccc(N(CC(=O)N(Cc2ccccc2)[C@@H](CC)C(=O)NC2CC2)S(=O)(=O)c2ccc(C)cc2)cc1,0.44,0.13,1.0,1.87,0.33,0.01,2.93
CN(C)CCNC(=O)O[C@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)c(O)c1,0.54,0.59,0.63,-1.19,0.4,0.12,3.66
CCOc1ccc(N2C(=O)N=C(O)/C(=C\c3ccc(-c4cccc(CN5CCOCC5)c4)o3)C2=O)cc1,0.49,0.17,1.0,2.12,0.47,0.02,2.72
CCc1ccccc1Nc1nc(N)nc(C[N+]2(Cc3ccc(F)cc3)CCCC2)n1,0.77,0.19,0.79,1.62,0.57,0.03,2.86
CCOC(=O)C1=C(c2ccccc2)N=c2sc(=Cc3ccc(F)c(F)c3)c(=O)n2[C@@H]1c1ccc(Cl)cc1,0.66,0.02,1.0,1.93,0.34,0.02,2.98
CN1CCN(c2ccc(-c3ccc(C=Nc4oc(-c5ccccc5)c(-c5ccccc5)c4C#N)o3)cc2)CC1,0.41,0.2,0.99,3.95,0.22,0.04,2.69
CCCCCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@H](O)CO[C@H]1CC[C@@H](CNc2ccccc2)O1,0.83,0.83,0.99,-0.72,0.45,0.02,4.36
CC[C@@H](C)NC(=O)[C@@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)CN(Cc1ccc(Cl)cc1)c1ccccc1,0.58,0.05,1.0,3.19,0.19,0.03,3.12
CN1CCN(CCCNC(=O)C=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)CC1,0.92,0.69,0.97,1.1,0.32,0.0,2.38
COC(=O)C1=C(C)N=c2s/c(=C\c3cccc(OCCN4CCNCC4)c3)c(=O)n2[C@H]1c1ccc(Cl)cc1,0.63,0.17,1.0,0.01,0.45,0.19,3.12
CN1CCN(CCCNC(=O)OCC(=O)c2ccc(Cl)c(Cl)c2)CC1,0.98,0.49,1.0,1.35,0.57,0.13,2.12
Cc1ccc(-c2ccc(C=CC(=O)N3CCN(c4ccc(F)cc4)CC3)o2)c(Cl)c1,0.8,0.12,1.0,3.18,0.53,0.01,2.26
COc1cc([C@@H]2SCC(=O)N2c2ccc(Cl)cc2)cc(I)c1OCCCN(C)C,0.94,0.28,0.99,2.07,0.34,0.62,2.98
CCCN(CCC)CCCc1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Br)c(OC(C)[C@@H](C)CC)c([N+](=O)[O-])c1,0.8,0.74,1.0,2.73,0.09,0.19,3.9
COc1ccc(C(=O)c2ccc(OCCN3CCNCC3)cc2)cc1,0.62,0.32,0.88,1.4,0.78,0.66,1.89
COc1ccc(Br)cc1C(=O)c1sc2cc([N+](=O)[O-])ccc2c1Cl,0.9,0.86,1.0,3.13,0.32,0.0,2.33
CCOc1cc(C=Nn2c(-c3cc4ccccc4o3)nc3ccccc3c2=O)ccc1C1CCN(C)CC1,0.73,0.19,1.0,2.97,0.27,0.07,2.72
COc1ccc(-c2c(C)oc3cc(OCCCN(C)C)ccc3c(=O)c2=O)cc1OC,0.67,0.4,0.94,-1.78,0.4,0.01,2.35
CCOc1cc(C=Nn2c(-c3cc4cc(Cl)ccc4o3)nc3ccccc3c2=O)c(Cl)cc1OC1CCN(C)CC1,0.65,0.1,1.0,3.39,0.19,0.05,2.93
CCCCOc1ccc(C(O)=C2[CH]c3ccncc3C2=O)c(C)c1,0.41,0.29,1.0,1.81,0.51,0.01,2.75
CCCNC(=O)[C@H](CC)N(Cc1ccc(OC)cc1)C(=O)CN(c1ccccc1)S(=O)(=O)c1ccccc1,0.45,0.05,1.0,1.66,0.35,0.0,2.84
O=C(CSc1cn[nH]n1)Nc1ccc(Cl)cc1,0.88,0.06,1.0,1.09,0.83,0.0,2.13
CCOc1ccc(N2C(=O)C3[C@H](ON(c4cccc([N+](=O)[O-])c4)[C@@H]3C(N)=O)C2=O)cc1,0.7,0.91,1.0,-1.3,0.41,0.0,3.53
COc1ccc(CNC(=O)[C@H](C)Oc2ccc3c(c2)-c2ccnc(N4CCN(C)CC4)c-3c2=O)cc1,0.74,0.65,1.0,-3.73,0.43,0.06,3.67
CC[C@H](C)NC(=O)[C@H](Cc1ccccc1)N(Cc1ccc(C)cc1)C(=O)CCCN1CCC(C)CC1,0.77,0.1,1.0,2.18,0.43,0.02,3.07
COCC(=O)Nc1ccc(N2CC3CCC(C2c2ccc(-c4cccc(C(=O)O)c4)o2)N3C)cc1,0.29,0.38,0.76,0.0,0.53,0.02,4.24
COc1ccc(N2C(=S)N[C@H](c3ccccn3)[C@H]2c2ccc(Br)o2)cc1Cl,0.61,0.24,1.0,1.57,0.53,0.0,3.52
O=C(Nc1ccc2oc(-c3ccc(Cl)cc3)nc2c1)c1ccc(F)c(F)c1,0.74,0.23,1.0,3.73,0.49,0.0,1.96
COC(=O)C[C@H](CN(C)C)c1c(O)c(O)c(O)c2c(=O)cc(-c3ccccc3)oc12,0.41,0.48,0.88,0.04,0.42,0.01,3.35
COc1ccccc1[C@H]1c2c(C)nn(-c3ccccc3)c2Oc2ncn3nc(C4CCN(CC(F)(F)F)C4)nc3c21,0.8,0.22,1.0,1.18,0.28,0.05,3.84
COc1cc([C@H]2C(=C(O)c3ccccc3)C(=O)C(=O)N2c2nc3ccc(F)cc3s2)cc(OC)c1OC,0.27,0.1,1.0,2.22,0.21,0.0,2.87
CCCCCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@H](O)CNc1c(C)cccc1C,0.93,0.71,1.0,-0.16,0.63,0.0,3.95
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(O)c(OC)c3)c(=O)n2[C@H]1c1cccc2ccccc12,0.3,0.18,1.0,1.1,0.42,0.01,2.98
CN1CCN(CCNC(=O)OCC(=O)c2ccc(Cl)c(Cl)c2)CC1,0.99,0.53,1.0,1.09,0.77,0.04,2.1
COc1ccc(C=Cc2nc3cc(C)c(C)cc3s2)cc1OCCCN1CCOCC1,0.83,0.61,1.0,2.77,0.45,0.03,2.47
CCCN(Cc1nnc(-c2cccs2)o1)C(=O)c1ccc(CN2CCN(c3ccccc3)CC2)cc1,0.9,0.16,1.0,2.87,0.32,0.2,2.38
CCN(CC)C(=O)C1=C(C)N=c2s/c(=C/c3ccccc3OCc3ccc(Cl)c(Cl)c3)c(=O)n2[C+](C)C1,0.5,0.11,1.0,-1.79,0.38,0.04,3.36
COc1ccc(C(=O)N/C(=C/c2ccc(F)cc2)C(=O)Nc2ccccc2Cl)c(Cl)c1,0.49,0.38,1.0,3.46,0.48,0.0,2.1
CCOc1ccc(-c2ccc(/C=C3/C(=N)N4C(CC(C)C)=NSC4=NC3=O)o2)c([N+](=O)[O-])c1,0.44,0.66,1.0,1.68,0.26,0.0,3.22
C#CCOc1c(C=NN[C@H](O)COc2ccc([C@H]3NC(=O)NC(C)=C3C(=O)OC)cc2OCC)cc(I)cc1OC(C)C,0.19,0.15,1.0,-0.33,0.06,0.02,4.14
CCCCNC(=O)[C@H](C)N(CCc1ccccc1)C(=O)CN(c1cccc(F)c1)S(C)(=O)=O,0.81,0.1,1.0,0.75,0.48,0.0,2.87
CC[C@H](C)OC(=O)C1=C(C)NC2=C(C(=O)C[C@H](c3ccc(F)cc3F)C2)[C@@H]1c1cccc([N+](=O)[O-])c1,0.41,0.23,1.0,1.65,0.32,0.02,3.63
CCN(CC)C(=O)C1=C(C)N=c2s/c(=C\c3cc(F)ccc3F)c(=O)n2[C@H]1c1cc(OC)ccc1OC,0.68,0.25,1.0,0.67,0.47,0.01,3.18
O=C(CSc1ccc(Cl)c(SCC(=O)N2CCN(c3ccccc3)CC2)c1)c1ccc([N+](=O)[O-])cc1,0.63,0.15,1.0,3.2,0.15,0.0,2.39
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCCN4CCNCC4)c(OC)c3)c(=O)n2[C@@H]1c1ccccc1OCC,0.56,0.16,1.0,-0.04,0.33,0.06,3.25
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CCc3ccccc3)[C@H]2SC1,0.11,0.06,0.28,-0.98,0.51,0.0,3.11
CN(Cc1ccccc1Cl)C(=O)Cc1c[nH]c2ccccc12,0.96,0.19,1.0,2.6,0.78,0.0,1.93
CCOC(=O)C1=C(C(F)(F)F)N=c2s/c(=C\c3cc(Br)cc(I)c3OCCN3CCOCC3)c(=O)n2[C@@H]1c1ccc(Cl)cc1,0.77,0.25,1.0,1.29,0.23,0.09,3.64
O=C1CN(Cc2ccccc2)CCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](Cc2c[nH]c3ccccc23)N1,0.08,0.13,0.74,-33.57,0.22,0.03,4.4
CN(C)C1CCN(CC(=O)Nc2ccc3nc(-c4ccc(-c5nc6ccc(NC(=O)C(F)(F)F)cc6[nH]5)cc4)[nH]c3c2)C1,0.46,0.44,0.91,1.61,0.22,0.06,3.24
CN(Cc1ccc(Cl)cc1)C(=O)CN(c1ccc(F)c(Cl)c1)S(=O)(=O)c1ccccc1,0.83,0.03,1.0,3.0,0.48,0.01,2.16
CCCC1=C(C(=O)OCC)[C@H](c2ccc3c(c2)OCO3)n2c(sc(=C[N+](C)(C)C)c2=O)=N1,0.26,0.11,0.96,-0.86,0.49,0.0,3.6
CCOc1cc(C=Nn2c(C(N)=O)nc3ccc(Br)cc3c2=O)c(Br)c(Br)c1OCc1ccc([N+](=O)[O-])cc1,0.55,0.69,1.0,2.35,0.14,0.01,3.03
CCOc1ccc(C=C2C(=O)NC(=S)N(c3cccc(Cl)c3Cl)C2=O)cc1Cl,0.7,0.29,1.0,2.62,0.41,0.0,2.41
CCOC(=O)c1c(N[C@@H](NC(=O)c2ccco2)C(=O)c2ccc(Cl)cc2)sc(C2CCN(CC3CC3)CC2)c1C,0.91,0.17,1.0,2.29,0.16,0.54,3.41
Cc1ccc(S(=O)(=O)N(CC(=O)N(CCCN(C)C)N(Cc2ccc(Cl)c(Cl)c2)C(=O)[C@@H](Cc2ccccc2)N2CCN(C)CC2)c2cccc(Br)c2)cc1,0.79,0.24,1.0,2.35,0.12,0.04,3.79
CN1CCC(c2nnc(SCC(=O)Nc3cc([N+](=O)[O-])ccc3Cl)n2C)CC1,0.9,0.58,0.99,1.29,0.43,0.01,2.38
COc1ccc(C)cc1N[C]1NC(=O)/C(=C/c2c(C)ccc3ccccc23)S1,0.72,0.76,1.0,2.56,0.6,0.0,2.67
CCCN(CCC)Cc1nnc([C@H](CC(C)C)NC(=O)c2ccc(Cl)cc2Cl)n1C,0.8,0.64,1.0,2.15,0.5,0.11,3.03
CN1CCN(C2=NN(c3ccccc3F)C(=O)C2=Cc2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)CC1,0.77,0.13,1.0,2.6,0.33,0.19,2.69
CCOc1ccc([C@@H]2C(C(=O)OC)=CN=c3sc(=Cc4ccc(Cl)c(Cl)c4)c(=O)n32)cc1OCC,0.51,0.03,1.0,1.01,0.43,0.01,3.32
CS(=O)(=O)c1ccc(N2C(=S)N[C@@H](c3ccccn3)[C@H]2c2ccc(-c3cccc(Cl)c3Cl)o2)cc1,0.47,0.06,1.0,2.2,0.3,0.0,3.56
CN(C)CCCOc1ccc(Br)cc1OC(=O)c1sc2cc([N+](=O)[O-])ccc2c1Cl,0.94,0.8,1.0,3.17,0.12,0.06,2.48
CN1CCN(Cc2cc(-c3ccc(Oc4ccc(S(=O)(=O)Nc5ncns5)cc4C#N)cc3C(F)(F)F)ccn2)CC1,0.67,0.25,0.99,1.8,0.3,0.08,3.07
CCOc1cc(Br)c(Br)c(/C=N/c2cc(CN3CCN(C)CC3)ccc2C)c1O,0.95,0.15,0.99,2.4,0.53,0.69,2.74
COc1ccccc1NC(=O)COc1ccc(C=C2SC(=S)N(C3CC3)C2=O)cc1OC,0.91,0.36,1.0,2.22,0.46,0.0,2.29
Cc1ccc(-c2cc(-c3ccccc3)c(C#N)c(S[C@@H](C)C(=O)NC3CC3)n2)cc1,0.58,0.24,1.0,2.66,0.55,0.0,2.66
CCCN1C(=O)[C@@H]2[C@H](C1=O)[C@H]1c3ccccc3C=CN1[C@H]2C(=O)Nc1ccc(Cl)c([N+](=O)[O-])c1,0.79,0.53,1.0,0.1,0.4,0.0,3.78
CCCN(Cc1nnc(-c2cccs2)o1)C(=O)c1ccc(-c2ccccc2)cc1,0.79,0.32,1.0,3.35,0.41,0.0,2.18
Cc1ccc2c(Cl)c(C(=O)Nc3ccc(C(=O)Nc4nnc(-c5cccc(CN(C)C)c5)o4)cc3)sc2c1,0.52,0.54,0.85,3.63,0.24,0.01,2.51
CCOc1ccc(N(CC(=O)N(Cc2ccccc2)C(=O)NC2CCCC2)S(=O)(=O)c2ccc(OC)c(OC)c2)cc1,0.81,0.05,1.0,2.43,0.31,0.01,2.63
O=C1NC(=O)N(c2cc3c4c(c2)[C@@H](c2ccccc2)CCN4CC[C@@H]3c2ccccc2)C(=O)C1Cl,0.89,0.24,1.0,-20.11,0.43,0.01,3.81
CCOC(=O)C1=C(c2ccccc2)N=c2s/c(=C\c3cccc(Br)c3)c(=O)n2[C@H]1c1ccc(F)cc1,0.73,0.05,1.0,1.95,0.33,0.01,2.95
CC(C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)c(OCc2ccc(N3CCOCC3)cc2)c(Br)c1,0.46,0.23,1.0,3.62,0.2,0.01,2.82
COc1ccc(C2=C(O)C(=O)N=C2N2CCN(c3cccc(Cl)c3)CC2)cc1,0.7,0.04,1.0,1.53,0.86,0.0,2.45
CN(C)c1ccccc1N1CCN(NC(=O)CN2C(=O)S/C(=C/c3ccc(-c4ccc(Cl)c([N+](=O)[O-])c4)o3)C2=O)CC1,0.46,0.43,1.0,1.65,0.22,0.01,2.98
CNC(=O)N(Cc1ccccc1Cl)[C@@H](Cc1ccccc1)C(=O)NC1CCCCC1,0.93,0.16,1.0,1.97,0.68,0.0,2.76
CCCCNC(=O)[C@H](C)N(CCc1ccccc1)C(=O)CN(c1cccc([N+](=O)[O-])c1)C(C)C,0.69,0.29,1.0,1.44,0.27,0.0,3.0
[O-]c1cccc(C(F)(F)F)c1,0.99,0.0,1.0,-0.03,0.57,0.0,2.82
CCOC(=O)c1c(C)nc2sc(=Cc3ccc(OC(C)=O)cc3OC(C)=O)c(=O)n2[c+]1C,0.54,0.23,0.98,-0.48,0.33,0.0,3.46
CCn1c(CC(=O)Nc2ccc(C)cc2)nnc1SCC(=O)Nc1ccc(Cl)cc1,0.63,0.09,0.99,2.57,0.51,0.0,2.05
CCOc1ccc([C@@H](C(=O)NCCC(C)C)N(Cc2ccccc2)C(=O)CN2C(=O)CCC2=O)cc1OC,0.63,0.05,1.0,1.04,0.4,0.0,2.92
CCN(CC)CCCOC(=O)c1cc(-c2ccc(C)cc2C)nc2ccccc12,0.96,0.42,1.0,3.31,0.38,0.07,2.15
Cc1cccn2c(=O)c(C=NN3CCN(C)CC3)c(Sc3nc4ccccc4s3)nc12,0.86,0.42,1.0,1.01,0.35,0.0,2.87
CC[C@@H](C(=O)Nc1ccccc1)N(Cc1cccc(C)c1)C(=O)CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,0.47,0.04,1.0,3.21,0.21,0.01,2.92
COc1ccc(C=C2SC(=S)N(NC(=O)c3ccc(C)cc3Cl)C2=O)cc1OC1CCN(C)CC1,0.55,0.35,0.99,2.2,0.43,0.02,2.65
CCCCNC(=O)[C@H](C)N(Cc1ccc(C)cc1)C(=O)CN(c1cc(OC)ccc1OC)C1CC1,0.8,0.23,1.0,1.52,0.43,0.0,3.01
CN1CCN(NC(=O)c2ccc(-c3ccccc3[N+](=O)[O-])o2)CC1,0.92,0.94,1.0,0.49,0.68,0.0,2.37
S=C1N[C@H](c2ccccn2)[C@@H](c2cccn2-c2ccc3ccccc3c2)N1c1ccccc1,0.72,0.23,1.0,2.37,0.33,0.02,3.4
CCOc1cc(N=Cc2c(CC)nc3ccc(Br)cc3[n+]2[O-])c(OCCN2CCN(C)CC2)cc1Br,0.84,0.55,0.99,1.52,0.2,0.58,3.25
CN1CCC(CNc2ccc(NC(=O)c3ccccc3)cc2Br)C1,0.98,0.32,1.0,2.05,0.81,0.05,2.42
CC[C@H](C(=O)NCC(C)C)N(Cc1ccccc1Cl)C(=O)CN(C)c1cc(OC)ccc1OC,0.61,0.11,1.0,1.56,0.48,0.0,3.0
O=C(CSc1ccc(Cl)c(Sc2ccccc2)c1)c1ccc([N+](=O)[O-])cc1,0.68,0.31,1.0,3.93,0.19,0.0,2.19
Cc1ccc(-c2cc(-c3ccccc3)c(C#N)c(S[C@@H](C)C(=O)Nc3ccc(Cl)c(Cl)c3)n2)cc1,0.3,0.13,1.0,4.46,0.26,0.01,2.71
Cc1sc(C)c(C(=O)OC(C)C)c1C(=O)N=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=N)O,0.51,0.06,0.99,1.26,0.19,0.02,3.68
CCCCCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2[C@@H]1[C@H](O)CO,0.97,0.6,1.0,-2.14,0.68,0.0,4.17
COCCN1C(=S)N[C@H](c2ccccn2)[C@@H]1c1cc(C)n(-c2cc(Cl)ccc2C)c1C,0.64,0.25,1.0,1.3,0.53,0.0,3.63
CCNC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)n1c(=O)[nH]c2ccccc2c1=O,0.34,0.16,0.9,-0.57,0.34,0.0,3.17
O=C(Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1)c1ccc2c(c1)[C@@H]1C3CCN(CC3)CC1[C@H](c1ccccc1)N2,0.65,0.15,0.98,-1.63,0.22,0.05,4.27
O=C(NC1CCNCC1)c1c(-c2ccccc2)c2c3n(c(-c4ccc(Cl)cc4)cn13)CCCC2,0.55,0.37,1.0,-14.72,0.41,0.27,2.69
CN1CCN(C(=O)c2cccc(C3=C(c4ccccc4)C(=NCCCN4CCOCC4)C=C3c3ccccc3)c2)CC1,0.8,0.34,0.97,2.33,0.35,0.05,2.87
CCCc1nc2s/c(=C/c3ccc(OCc4ccc(C#N)cc4)c(Br)c3)c(=O)n2c1CN1CCN(C)CC1,0.65,0.54,0.99,1.57,0.31,0.16,2.91
Cc1ccc(C(=O)N(CC(=O)Nc2nc(-c3ccc(F)cc3)cn2-c2ccc(F)cc2F)Cc2ccccc2)cc1,0.55,0.34,1.0,3.71,0.24,0.01,2.48
COc1ccc(-c2c(C)oc3cc(OCCCN(C)C)ccc3c2=O)cc1OC,0.76,0.39,0.97,2.31,0.53,0.02,2.23
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C/C(=N/OCC(=O)NCCC5(c6ccccc6)CCC5)CC[C@]4(C)[C@@H]3CC[C@@]21C,0.11,0.13,1.0,1.02,0.31,0.02,4.58
CC1CCN(CCC(=O)Oc2ccc(Br)cc2/C=C2/N=C(c3ccc(Cl)cc3Cl)OC2=O)CC1,0.8,0.15,0.99,3.2,0.24,0.72,2.66
COC(=O)c1ccc(-c2cccc(N=Cc3ccc(C(=O)Oc4cccc(Br)c4)cc3)c2)cc1,0.32,0.13,0.99,4.22,0.16,0.03,2.24
CN1CCN(c2ccc(-c3ccc(/C=C4/SC(=S)N(NC(=O)c5ccccc5)C4=O)o3)cc2)CC1,0.54,0.36,0.97,2.08,0.41,0.01,2.5
CCCc1nn2c(=O)c(C(c3ccc(C(C)(C)C)cc3)c3c(O)nc4sc(CCC)nn4c3=O)c(O)nc2s1,0.13,0.05,0.96,1.05,0.3,0.02,3.45
CN1CCC(NC(=O)NCc2nnc(SCC(=O)Nc3nccs3)n2-c2cccc(C(F)(F)F)c2)C1,0.68,0.18,0.98,0.43,0.38,0.04,3.14
CC[C@H](C)OC(=O)C1=C(C)NC2=C(C(=O)C[C@H](c3ccccc3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1,0.33,0.16,1.0,1.67,0.36,0.0,3.46
CCCC1=C(C(=O)OCC)[C@H](c2cc(Cl)ccc2OC)n2c(s/c(=C/c3cc(Cl)c(OCc4cccc(CN5CCN(C)CC5)c4)c(OC)c3)c2=O)=N1,0.54,0.14,1.0,2.14,0.15,0.06,3.61
CN1CCN(C(=O)C(=N)N/N=C\c2ccc(O)cc2)CC1,0.45,0.25,0.81,-0.98,0.41,0.03,2.62
CCN1CCC(Nc2nc(NCc3cccc(Br)c3)nn2S(=O)(=O)c2ccc(C)cc2)CC1,0.72,0.11,1.0,1.81,0.45,0.07,2.63
Cc1ccc(C(=O)N(CC(=O)Nc2nc(-c3ccc(F)cc3F)cn2-c2ccc(F)cc2F)Cc2ccccc2)cc1,0.58,0.35,1.0,3.67,0.21,0.02,2.59
Cc1ccc(C(=O)N/C(=C\c2ccc(Br)o2)C(=O)N[C@@H]2CCCS2(=O)=O)cc1,0.58,0.49,0.99,0.04,0.66,0.0,3.34
COc1cc(C(C)c2c(-c3ccc(C)cc3)n[nH]c2O)cc(I)c1O,0.2,0.05,1.0,1.43,0.51,0.01,3.22
N#Cc1c(-c2ccc(F)cc2)cc(-c2cccs2)nc1SCC(=O)N1CCC(N2CCC2)C1,0.91,0.51,1.0,1.92,0.47,0.17,3.01
CCCNC(=O)[C@H](CC)N(Cc1ccc(OC)cc1)C(=O)CN(Cc1ccc(Br)cc1)c1ccc([N+](=O)[O-])cc1,0.28,0.34,1.0,2.46,0.19,0.01,3.03
CCOC(=O)C1=C(C)N=c2sc(=Cc3ccc(NC4CCN(C)CC4)cc3OC)c(=O)n2[C@@H]1c1c(OC)ccc2ccccc12,0.66,0.19,1.0,1.22,0.29,0.07,3.35
CCCC1=C(C(=O)CCN2CCN(C)CC2)NC2=C(N1)C(=O)/C(=C\c1ccc(OC)c(Br)c1)S2,0.51,0.45,0.98,0.78,0.48,0.09,3.26
CCOc1ccccc1NC(=O)c1sc(NC(=O)CCCN2CCOCC2)c(C(=O)OC)c1C,0.65,0.3,0.98,1.79,0.49,0.01,2.33
CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2ccc(F)cc2F)cc1C(C)C,0.67,0.29,1.0,3.16,0.33,0.0,2.65
COc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc3c(c2)CCN(C)CC3)Cc2ccccc2)cc1Cl,0.64,0.25,1.0,-1.23,0.47,0.08,2.32
CC(C)NC(=O)CSc1ccc(NC(=O)/C(=C/c2c[nH]c3ccccc23)NC(=O)c2ccccc2)cc1,0.5,0.16,0.98,2.85,0.18,0.0,2.41
CCn1c(CC(=O)Nc2ccc(C)cc2)nnc1SCC(=O)Nc1nc2ccc(CN(C)C)cc2s1,0.55,0.17,0.9,2.06,0.3,0.0,2.48
CNC(=O)[C@@H](C)N(Cc1ccc(Cl)cc1)C(=O)CN(c1cc(C)cc(C)c1)S(=O)(=O)c1ccccc1,0.55,0.04,1.0,1.62,0.45,0.0,2.92
CCn1c(CNC(=O)COc2cc(C)ccc2C(C)C)nnc1SCC(=O)Nc1ccc(Cl)c(Cl)c1,0.41,0.11,1.0,3.02,0.31,0.0,2.43
CC[C@@H](C(=O)NC(C)C)N(Cc1cccc(C)c1)C(=O)CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(C)cc1,0.47,0.04,1.0,2.38,0.33,0.01,2.97
CCOc1ccc([C@@H]2C(=C(CN3CCNCC3)c3ccc4c(c3)C[C@H](C)O4)C(=O)C(=O)N2Cc2ccncc2)cc1OCC,0.33,0.03,1.0,0.6,0.27,0.04,3.72
CC(=N/C(O)=C(\Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C1CCN(C)CC1,0.2,0.11,0.99,-0.33,0.08,0.06,4.28
Cc1ccc2c(c1)C=C[C@@H]1N2[C@H](C(=O)C(C)(C)C)[C@@H](C(=O)c2ccc(F)cc2)C12C(=O)Nc1ccccc12,0.76,0.17,1.0,0.91,0.46,0.01,4.34
COc1cccc(CN(C(=O)CN(C)S(=O)(=O)c2ccccc2)[C@@H](Cc2ccccc2)C(=O)NC(C)C)c1,0.25,0.08,1.0,1.14,0.38,0.0,2.84
COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)CN(C(=O)CN3CCSCC3)C[C@H](C(C)C)NC(=O)[C@@H](C)NC2=O)cc1,0.05,0.15,0.68,-34.42,0.32,0.02,4.69
CN1CCN(N(Cc2c(Cl)cccc2Cl)C(=O)C(c2ccccc2)c2ccccc2)CC1,0.81,0.17,1.0,2.76,0.49,0.15,2.56
CCCN(Cc1nnc(-c2cccs2)o1)C(=O)c1ccc(COc2ccccc2Cl)cc1,0.57,0.24,1.0,3.59,0.3,0.0,2.31
CCCCc1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)c(OCCCN2CCOCC2)c(OCC)c1,0.71,0.32,1.0,2.62,0.2,0.47,2.8
CCOc1ccc(-c2nn(-c3ccccc3)cc2/C=c2\sc3n(c2=O)[C@H](c2ccc(C(=O)OC)cc2)C(C(=O)NC2CC(N)C2)=C(C)N=3)cc1,0.3,0.18,1.0,0.67,0.22,0.02,3.46
CCn1c(Cc2ccccc2)nnc1SCC(=O)c1ccc([N+](=O)[O-])cc1,0.84,0.47,1.0,2.23,0.25,0.0,2.1
CCOC(=O)c1c(NC(=O)/C=C/c2cccc(F)c2)sc(C(C)=O)c1C,0.92,0.25,1.0,2.32,0.47,0.0,2.29
CC[C@H](C(=O)NCCN1CCOCC1)N(Cc1ccc(Cl)cc1)C(=O)CN(c1ccc(C(C)C)cc1)S(=O)(=O)c1ccccc1,0.61,0.2,1.0,1.75,0.27,0.03,3.17
CCOC(=O)C1=C(c2ccccc2)N=c2sc(=C(C)c3ccccc3)c(=O)n2[C@@H]1c1ccc(C(C)C)cc1,0.31,0.03,1.0,2.1,0.32,0.01,3.18
COc1ccc2c(c1OC)c(=O)n1c3ccc(O[C@@H](C)C(=O)NCCN(C)C)cc3c3ccnc2c31,0.54,0.74,0.97,0.44,0.34,0.01,3.17
COc1ccc(CN(C(=O)CCc2ccco2)[C@H](Cc2ccccc2)C(=O)NC2CCN(C)CC2)cc1,0.42,0.14,1.0,1.49,0.43,0.03,2.89
COc1cc(O)cc2c1[C@H](c1c(O)cc(O)c3c1O[C@H](c1cc(O)c(OC)c(O)c1)[C@H](O)C3)[C@@H](O)[C@@H](c1ccc(O)cc1)O2,0.04,0.19,0.84,-0.83,0.16,0.03,4.55
COc1cc([N+](=O)[O-])ccc1N1C[C@H](C(=O)OCC(=O)Nc2ccc(Cl)cc2)CC1=O,0.65,0.65,1.0,0.9,0.39,0.0,2.64
C=CC[C@@H](CC1CCCN(C)C1)Nc1ccc(Cc2ccc(N[C@@H](CC=C)c3ccc(OC)cc3)cc2)cc1,0.65,0.15,0.99,3.38,0.21,0.06,3.66
O=C(CN(C(=O)c1ccc(Cl)cc1Cl)N1C(=O)c2ccccc2C1=O)c1ccc(OC(=O)c2cccs2)cc1,0.4,0.14,0.99,2.92,0.12,0.01,2.7
